device=cuda steps=20000 layers=2 d=128

== attn-only reference ==
 step   attn    ssm
   500  0.037  0.017
  1000  0.060  0.021
  1500  0.075  0.022
  2000  0.165  0.026
  2500  1.000  0.037
  3000  1.000  0.036

== shared per-forward (LONG) ==
 step   attn    ssm
  1000  0.053  0.052
  2000  0.072  0.075
  3000  0.072  0.082
  4000  0.091  0.084
  5000  1.000  0.084
  6000  1.000  0.083
  7000  1.000  0.152
  8000  1.000  0.925
  9000  1.000  0.994
 10000  1.000  0.998
 11000  1.000  0.999
 12000  1.000  1.000
 13000  1.000  1.000
 14000  1.000  1.000
 15000  1.000  1.000
 16000  1.000  1.000
 17000  1.000  1.000
 18000  1.000  1.000
 19000  1.000  1.000
 20000  1.000  1.000
